정비사업_매칭키,사업코드,순번,자치구,구역명,위치_지번주소,위치_도로명주소,공공민간,일반재촉,사업유형,추진단계,기존가구수,구역지정_최초,구역지정_변경최종,추진위원회승인일,조합설립인가일,건축심의일,사업시행인가_최초,사업시행인가_변경최종,관리처분인가_최초,관리처분인가_변경최종,이주개시일,이주완료일,착공일,공급세대수_합계,공급세대수_분양,공급세대수_임대
종로구|수송1-2,1460,1,종로구,수송1-2,수송동146-12,종로1길36,민간,일반,도시정비형 재개발,건축심의,0,2010-12-30,2024-11-21,,,2026-03-26,,,,,,,,0,0,0
종로구|수송1-7,1462,2,종로구,수송1-7,수송동80,종로5길68,민간,일반,도시정비형 재개발,사업시행,0,2010-12-30,2025-03-28,,,,2026-03-06,,,,,,,0,0,0
종로구|신문로2-12,1449,3,종로구,신문로2-12,신문로1가158,세종대로21길71,공공,일반,도시정비형 재개발,조합설립,0,1983-09-30,2025-12-04,,2021-08-27,,,,,,,,,128,64,64
종로구|신영1,1441,4,종로구,신영1,신영동158-2,세검정로6길62-2,민간,일반,주택정비형 재개발,착공,66,2000-06-01,2024-08-16,,2003-07-07,,2018-10-19,2025-02-19,2022-02-26,2025-10-10,2022-11-19,2023-02-01,2026-04-09,199,199,0
종로구|종로6가,1473,5,종로구,종로6가,종로6가117,종로269-3,민간,일반,도시정비형 재개발,구역지정,165,2009-10-01,2012-05-24,,,,,,,,,,,199,0,199
종로구|사직2,1475,6,종로구,사직2,사직동311-10,사직로62-2,민간,일반,도시정비형 재개발,사업시행,0,2009-11-19,2013-10-28,2003-11-21,2010-07-19,2011-11-10,2012-09-21,,,,,,,456,378,78
종로구|돈의문2,1443,7,종로구,돈의문2,교남동28,통일로150-7,민간,재촉,도시정비형 재개발,관리처분,18,2003-11-18,2006-04-13,2007-12-13,2024-06-21,2023-11-13,2024-06-21,,2025-05-23,,,,,228,150,78
종로구|세운4,1477,8,종로구,세운4,예지동85,종로30길19-8,민간,재촉,도시정비형 재개발,관리처분,0,2004-02-05,2014-03-27,,,2018-11-27,2018-06-29,2021-12-17,2020-02-28,,2021-11-01,2021-12-31,,0,0,0
서대문구|영천,1171,9,서대문구,영천,영천동69-20,영천시장길14,민간,일반,주택정비형 재개발,착공,139,2006-02-23,2006-02-01,2006-09-01,2008-03-27,2021-11-01,2011-04-25,2026-04-09,2020-02-01,2025-04-18,2020-08-01,2021-05-01,2022-11-30,199,199,0
종로구|공평3,2723,10,종로구,공평3,공평동1,인사동5길41,민간,일반,도시정비형 재개발,사업시행,0,1978-09-26,2024-11-14,,,2025-06-19,2026-05-08,,,,,,,0,0,0
종로구|관수동일반정비3,2618,11,종로구,관수동일반정비3,관수동59일대,돈화문로15,민간,일반,도시정비형 재개발,관리처분,0,2024-04-11,2025-02-06,,,2025-05-15,2025-08-22,,2026-05-15,,,,,0,0,0
종로구|관수동일반정비8,2623,12,종로구,관수동일반정비8,관수동129-1일대,청계천로113,민간,일반,도시정비형 재개발,관리처분,0,2024-04-11,2024-02-06,,,2025-04-24,2025-09-26,,2026-04-24,,,,,0,0,0
종로구|내자필운2-1,2536,13,종로구,내자필운2-1,내자동81,사직로12길19-12,민간,일반,도시정비형 재개발,구역지정,0,2011-05-06,2025-09-11,,,,,,,,,,,376,55,321
종로구|서린345지구,2598,14,종로구,서린345지구,서린동111-1번지일대,,민간,일반,도시정비형 재개발,사업시행,0,1983-09-06,2025-01-02,,,2024-11-29,2025-04-08,2025-04-08,,,,,,0,0,0
종로구|수송1-3,2373,15,종로구,수송1-3,수송동146-2,종로1길36,공공,일반,도시정비형 재개발,사업시행,0,2010-12-30,2025-01-17,,,2024-01-09,2025-02-14,,,,,,,0,0,0
